site,visit_date,datum,am_date,factor,count,species,alive,dead,uid,geometry,lon_gda94,lat_gda94,alv_prop,ded_prop,total_prop,avg_alive,avg_dead,avg_total,cor_av_liv,cor_av_ded,cor_av_tot
FD1_1_1,2001-01-09,GDA94,20010109,1.0,3,others,4,0.0,27,POINT (131.3149210270065 -12.56147207191574),131.31492102700648,-12.561472071915743,0.023417832679585502,0.0,0.021184196589344347,1.3333333333333333,0.0,1.3333333333333333,1.3333333333333333,0.0,1.3333333333333333
FD1_1_1,2001-01-09,GDA94,20010109,1.0,3,dead,0,5.0,28,POINT (131.3149210270065 -12.56147207191574),131.31492102700648,-12.561472071915743,0.0,0.27762354247640203,0.02648024573668044,0.0,1.6666666666666667,1.6666666666666667,0.0,1.6666666666666667,1.6666666666666667
FD1_1_1,2001-01-09,GDA94,20010109,1.0,3,Terminalia microcarpa,15,0.0,29,POINT (131.3149210270065 -12.56147207191574),131.31492102700648,-12.561472071915743,0.08781687254844564,0.0,0.07944073721004132,5.0,0.0,5.0,5.0,0.0,5.0
LD9_2_2,2000-09-07,GDA94,20000907,0.5,3,E. tetrodonta,65,0.0,171,POINT (131.0917272768354 -12.7032338895905),131.09172727683543,-12.703233889590496,0.38053978104326447,0.0,0.34424319457684566,21.666666666666668,0.0,21.666666666666668,10.833333333333334,0.0,10.833333333333334
LD9_2_2,2000-09-07,GDA94,20000907,0.5,3,E. miniata,47,0.0,172,POINT (131.0917272768354 -12.7032338895905),131.09172727683543,-12.703233889590496,0.27515953398512966,0.0,0.2489143099247961,15.666666666666666,0.0,15.666666666666666,7.833333333333333,0.0,7.833333333333333
LD9_2_2,2000-09-07,GDA94,20000907,0.5,3,others,41,0.0,173,POINT (131.0917272768354 -12.7032338895905),131.09172727683543,-12.703233889590496,0.24003278496575142,0.0,0.21713801504077956,13.666666666666666,0.0,13.666666666666666,6.833333333333333,0.0,6.833333333333333
LD9_2_2,2000-09-07,GDA94,20000907,0.5,3,dead,0,18.0,174,POINT (131.0917272768354 -12.7032338895905),131.09172727683543,-12.703233889590496,0.0,0.9994447529150472,0.09532888465204957,0.0,6.0,6.0,0.0,12.0,12.0
LD9_1_1,2000-07-13,GDA94,20000713,0.75,3,E. miniata,18,0.0,175,POINT (131.0910255880708 -12.70297733774477),131.09102558807083,-12.702977337744766,0.10538024705813477,0.0,0.09532888465204957,6.0,0.0,6.0,4.5,0.0,4.5
LD9_1_1,2000-07-13,GDA94,20000713,0.75,3,E. tetrodonta,38,0.0,176,POINT (131.0910255880708 -12.70297733774477),131.09102558807083,-12.702977337744766,0.22246941045606228,0.0,0.2012498675987713,12.666666666666666,0.0,12.666666666666666,9.5,0.0,9.5
LD9_1_1,2000-07-13,GDA94,20000713,0.75,3,dead,0,7.0,177,POINT (131.0910255880708 -12.70297733774477),131.09102558807083,-12.702977337744766,0.0,0.3886729594669628,0.03707234403135261,0.0,2.3333333333333335,2.3333333333333335,0.0,3.111111111111111,3.111111111111111
LD8_2_2,2000-07-12,GDA94,20000712,0.25,3,Grevillea pteridifolia,34,0.0,178,POINT (130.7417266894962 -13.27488001642017),130.74172668949618,-13.27488001642017,0.1990515777764768,0.0,0.18006567100942697,11.333333333333334,0.0,11.333333333333334,2.8333333333333335,0.0,2.8333333333333335
LD8_2_2,2000-07-12,GDA94,20000712,0.25,3,Melaleuca nervoa,49,0.0,179,POINT (130.7417266894962 -13.27488001642017),130.74172668949618,-13.27488001642017,0.2868684503249224,0.0,0.25950640821946824,16.333333333333332,0.0,16.333333333333332,4.083333333333333,0.0,4.083333333333333
LD8_2_2,2000-07-12,GDA94,20000712,0.25,3,dead,0,4.0,180,POINT (130.7417266894962 -13.27488001642017),130.74172668949618,-13.27488001642017,0.0,0.22209883398112162,0.021184196589344347,0.0,1.3333333333333333,1.3333333333333333,0.0,5.333333333333333,5.333333333333333
LD8_2_2,2000-07-12,GDA94,20000712,0.25,3,others,10,0.0,181,POINT (130.7417266894962 -13.27488001642017),130.74172668949618,-13.27488001642017,0.05854458169896376,0.0,0.05296049147336088,3.3333333333333335,0.0,3.3333333333333335,0.8333333333333334,0.0,0.8333333333333334
LD8_1_2,2000-07-12,GDA94,20000712,0.25,3,E. chlorostachys,5,0.0,182,POINT (130.7410883324898 -13.27335683680295),130.74108833248977,-13.273356836802952,0.02927229084948188,0.0,0.02648024573668044,1.6666666666666667,0.0,1.6666666666666667,0.4166666666666667,0.0,0.4166666666666667
LD8_1_2,2000-07-12,GDA94,20000712,0.25,3,Grevillea pteridifolia,15,0.0,183,POINT (130.7410883324898 -13.27335683680295),130.74108833248977,-13.273356836802952,0.08781687254844564,0.0,0.07944073721004132,5.0,0.0,5.0,1.25,0.0,1.25
LD8_1_2,2000-07-12,GDA94,20000712,0.25,3,Melaleuca nervoa,12,0.0,184,POINT (130.7410883324898 -13.27335683680295),130.74108833248977,-13.273356836802952,0.07025349803875652,0.0,0.06355258976803305,4.0,0.0,4.0,1.0,0.0,1.0
LD8_1_2,2000-07-12,GDA94,20000712,0.25,3,dead,0,5.0,185,POINT (130.7410883324898 -13.27335683680295),130.74108833248977,-13.273356836802952,0.0,0.27762354247640203,0.02648024573668044,0.0,1.6666666666666667,1.6666666666666667,0.0,6.666666666666667,6.666666666666667
LD8_1_2,2000-07-12,GDA94,20000712,0.25,3,others,6,0.0,186,POINT (130.7410883324898 -13.27335683680295),130.74108833248977,-13.273356836802952,0.03512674901937826,0.0,0.03177629488401652,2.0,0.0,2.0,0.5,0.0,0.5
LD7_2_2,2000-07-11,GDA94,20000711,0.5,3,E. tetrodonta,41,0.0,187,POINT (130.8520770939525 -13.05843831026966),130.8520770939525,-13.05843831026966,0.24003278496575142,0.0,0.21713801504077956,13.666666666666666,0.0,13.666666666666666,6.833333333333333,0.0,6.833333333333333
LD7_2_2,2000-07-11,GDA94,20000711,0.5,3,E. miniata,27,0.0,188,POINT (130.8520770939525 -13.05843831026966),130.8520770939525,-13.05843831026966,0.15807037058720216,0.0,0.14299332697807435,9.0,0.0,9.0,4.5,0.0,4.5
LD7_2_2,2000-07-11,GDA94,20000711,0.5,3,E. chlorostachys,6,0.0,189,POINT (130.8520770939525 -13.05843831026966),130.8520770939525,-13.05843831026966,0.03512674901937826,0.0,0.03177629488401652,2.0,0.0,2.0,1.0,0.0,1.0
LD7_2_2,2000-07-11,GDA94,20000711,0.5,3,dead,0,5.0,190,POINT (130.8520770939525 -13.05843831026966),130.8520770939525,-13.05843831026966,0.0,0.27762354247640203,0.02648024573668044,0.0,1.6666666666666667,1.6666666666666667,0.0,3.3333333333333335,3.3333333333333335
LD7_1_2,2000-07-11,GDA94,20000711,0.5,3,E. miniata,29,0.0,191,POINT (130.8528684998389 -13.0582428337444),130.85286849983893,-13.058242833744398,0.1697792869269949,0.0,0.15358542527274655,9.666666666666666,0.0,9.666666666666666,4.833333333333333,0.0,4.833333333333333
LD7_1_2,2000-07-11,GDA94,20000711,0.5,3,E. tetrodonta,18,0.0,192,POINT (130.8528684998389 -13.0582428337444),130.85286849983893,-13.058242833744398,0.10538024705813477,0.0,0.09532888465204957,6.0,0.0,6.0,3.0,0.0,3.0
LD7_1_2,2000-07-11,GDA94,20000711,0.5,3,E. chlorostachys,7,0.0,193,POINT (130.8528684998389 -13.0582428337444),130.85286849983893,-13.058242833744398,0.04098120718927463,0.0,0.03707234403135261,2.3333333333333335,0.0,2.3333333333333335,1.1666666666666667,0.0,1.1666666666666667
LD7_1_2,2000-07-11,GDA94,20000711,0.5,3,dead,0,5.0,194,POINT (130.8528684998389 -13.0582428337444),130.85286849983893,-13.058242833744398,0.0,0.27762354247640203,0.02648024573668044,0.0,1.6666666666666667,1.6666666666666667,0.0,3.3333333333333335,3.3333333333333335
LD6_2_2,2000-07-11,GDA94,20000711,0.5,3,Grevillea pteridifolia,24,0.0,195,POINT (130.6926822891588 -13.21521923294269),130.69268228915882,-13.215219232942687,0.14050699607751305,0.0,0.1271051795360661,8.0,0.0,8.0,4.0,0.0,4.0
LD6_2_2,2000-07-11,GDA94,20000711,0.5,3,E. chlorostachys,6,0.0,196,POINT (130.6926822891588 -13.21521923294269),130.69268228915882,-13.215219232942687,0.03512674901937826,0.0,0.03177629488401652,2.0,0.0,2.0,1.0,0.0,1.0
LD6_2_2,2000-07-11,GDA94,20000711,0.5,3,dead,0,5.0,197,POINT (130.6926822891588 -13.21521923294269),130.69268228915882,-13.215219232942687,0.0,0.27762354247640203,0.02648024573668044,0.0,1.6666666666666667,1.6666666666666667,0.0,3.3333333333333335,3.3333333333333335
LD6_1_2,2000-07-11,GDA94,20000711,0.5,3,Grevillea pteridifolia,22,0.0,198,POINT (130.6916253485661 -13.21446695345876),130.69162534856613,-13.214466953458764,0.12879807973772026,0.0,0.11651308124139392,7.333333333333333,0.0,7.333333333333333,3.6666666666666665,0.0,3.6666666666666665
LD6_1_2,2000-07-11,GDA94,20000711,0.5,3,E. chlorostachys,13,0.0,199,POINT (130.6916253485661 -13.21446695345876),130.69162534856613,-13.214466953458764,0.07610795620865289,0.0,0.06884863891536913,4.333333333333333,0.0,4.333333333333333,2.1666666666666665,0.0,2.1666666666666665
LD6_1_2,2000-07-11,GDA94,20000711,0.5,3,dead,0,4.0,200,POINT (130.6916253485661 -13.21446695345876),130.69162534856613,-13.214466953458764,0.0,0.22209883398112162,0.021184196589344347,0.0,1.3333333333333333,1.3333333333333333,0.0,2.6666666666666665,2.6666666666666665
LD6_1_2,2000-07-11,GDA94,20000711,0.5,3,others,5,0.0,201,POINT (130.6916253485661 -13.21446695345876),130.69162534856613,-13.214466953458764,0.02927229084948188,0.0,0.02648024573668044,1.6666666666666667,0.0,1.6666666666666667,0.8333333333333334,0.0,0.8333333333333334
LD5_1_1,2000-07-10,GDA94,20000710,0.5,3,E. miniata,14,0.0,202,POINT (130.6625991005345 -13.14872598057677),130.66259910053452,-13.148725980576765,0.08196241437854926,0.0,0.07414468806270522,4.666666666666667,0.0,4.666666666666667,2.3333333333333335,0.0,2.3333333333333335
LD5_1_1,2000-07-10,GDA94,20000710,0.5,3,E. chlorostachys,2,0.0,203,POINT (130.6625991005345 -13.14872598057677),130.66259910053452,-13.148725980576765,0.011708916339792751,0.0,0.010592098294672173,0.6666666666666666,0.0,0.6666666666666666,0.3333333333333333,0.0,0.3333333333333333
LD5_1_1,2000-07-10,GDA94,20000710,0.5,3,Eucalyptus sp.,6,0.0,204,POINT (130.6625991005345 -13.14872598057677),130.66259910053452,-13.148725980576765,0.03512674901937826,0.0,0.03177629488401652,2.0,0.0,2.0,1.0,0.0,1.0
LD5_1_1,2000-07-10,GDA94,20000710,0.5,3,dead,0,6.0,205,POINT (130.6625991005345 -13.14872598057677),130.66259910053452,-13.148725980576765,0.0,0.3331482509716824,0.03177629488401652,0.0,2.0,2.0,0.0,4.0,4.0
LD5_1_1,2000-07-10,GDA94,20000710,0.5,3,Corymbia polysciada,12,0.0,206,POINT (130.6625991005345 -13.14872598057677),130.66259910053452,-13.148725980576765,0.07025349803875652,0.0,0.06355258976803305,4.0,0.0,4.0,2.0,0.0,2.0
LD4_1_1,2000-07-10,GDA94,20000710,0.5,3,Eucalyptus sp.,16,0.0,207,POINT (130.642885150982 -13.11358171901608),130.64288515098198,-13.113581719016075,0.09367133071834201,0.0,0.08473678635737739,5.333333333333333,0.0,5.333333333333333,2.6666666666666665,0.0,2.6666666666666665
LD4_1_1,2000-07-10,GDA94,20000710,0.5,3,E. chlorostachys,13,0.0,208,POINT (130.642885150982 -13.11358171901608),130.64288515098198,-13.113581719016075,0.07610795620865289,0.0,0.06884863891536913,4.333333333333333,0.0,4.333333333333333,2.1666666666666665,0.0,2.1666666666666665
LD4_1_1,2000-07-10,GDA94,20000710,0.5,3,dead,0,3.0,209,POINT (130.642885150982 -13.11358171901608),130.64288515098198,-13.113581719016075,0.0,0.1665741254858412,0.01588814744200826,0.0,1.0,1.0,0.0,2.0,2.0
LD4_1_1,2000-07-10,GDA94,20000710,0.5,3,E. miniata,4,0.0,210,POINT (130.642885150982 -13.11358171901608),130.64288515098198,-13.113581719016075,0.023417832679585502,0.0,0.021184196589344347,1.3333333333333333,0.0,1.3333333333333333,0.6666666666666666,0.0,0.6666666666666666
LD4_1_1,2000-07-10,GDA94,20000710,0.5,3,Corymbia polysciada,4,0.0,211,POINT (130.642885150982 -13.11358171901608),130.64288515098198,-13.113581719016075,0.023417832679585502,0.0,0.021184196589344347,1.3333333333333333,0.0,1.3333333333333333,0.6666666666666666,0.0,0.6666666666666666
LD3_1_1,2000-07-10,GDA94,20000710,0.5,3,Lophostemon lactifluus,19,0.0,212,POINT (130.6537988765661 -13.10862165756547),130.6537988765661,-13.108621657565466,0.11123470522803114,0.0,0.10062493379938565,6.333333333333333,0.0,6.333333333333333,3.1666666666666665,0.0,3.1666666666666665
LD3_1_1,2000-07-10,GDA94,20000710,0.5,3,E. chlorostachys,12,0.0,213,POINT (130.6537988765661 -13.10862165756547),130.6537988765661,-13.108621657565466,0.07025349803875652,0.0,0.06355258976803305,4.0,0.0,4.0,2.0,0.0,2.0
LD3_1_1,2000-07-10,GDA94,20000710,0.5,3,Eucalyptus sp.,4,0.0,214,POINT (130.6537988765661 -13.10862165756547),130.6537988765661,-13.108621657565466,0.023417832679585502,0.0,0.021184196589344347,1.3333333333333333,0.0,1.3333333333333333,0.6666666666666666,0.0,0.6666666666666666
LD3_1_1,2000-07-10,GDA94,20000710,0.5,3,dead,0,4.0,215,POINT (130.6537988765661 -13.10862165756547),130.6537988765661,-13.108621657565466,0.0,0.22209883398112162,0.021184196589344347,0.0,1.3333333333333333,1.3333333333333333,0.0,2.6666666666666665,2.6666666666666665
LD3_1_1,2000-07-10,GDA94,20000710,0.5,3,Acacia latesens,6,0.0,216,POINT (130.6537988765661 -13.10862165756547),130.6537988765661,-13.108621657565466,0.03512674901937826,0.0,0.03177629488401652,2.0,0.0,2.0,1.0,0.0,1.0
LD3_1_1,2000-07-10,GDA94,20000710,0.5,3,E. miniata,6,0.0,217,POINT (130.6537988765661 -13.10862165756547),130.6537988765661,-13.108621657565466,0.03512674901937826,0.0,0.03177629488401652,2.0,0.0,2.0,1.0,0.0,1.0
LD3_1_1,2000-07-10,GDA94,20000710,0.5,3,Terminalia grandiflora,3,0.0,218,POINT (130.6537988765661 -13.10862165756547),130.6537988765661,-13.108621657565466,0.01756337450968913,0.0,0.01588814744200826,1.0,0.0,1.0,0.5,0.0,0.5
LD2_1_1,2000-06-29,GDA94,20000629,0.5,4,Eucalyptus tectifica,50,0.0,219,POINT (130.9831009305323 -12.71478736094759),130.98310093053232,-12.714787360947586,0.2927229084948188,0.0,0.26480245736680436,12.5,0.0,12.5,6.25,0.0,6.25
LD2_1_1,2000-06-29,GDA94,20000629,0.5,4,E. chlorostachys,20,0.0,220,POINT (130.9831009305323 -12.71478736094759),130.98310093053232,-12.714787360947586,0.11708916339792752,0.0,0.10592098294672175,5.0,0.0,5.0,2.5,0.0,2.5
LD2_1_1,2000-06-29,GDA94,20000629,0.5,4,E. miniata,7,0.0,221,POINT (130.9831009305323 -12.71478736094759),130.98310093053232,-12.714787360947586,0.04098120718927463,0.0,0.03707234403135261,1.75,0.0,1.75,0.875,0.0,0.875
LD2_1_1,2000-06-29,GDA94,20000629,0.5,4,dead,0,13.0,222,POINT (130.9831009305323 -12.71478736094759),130.98310093053232,-12.714787360947586,0.0,0.7218212104386451,0.06884863891536913,0.0,3.25,3.25,0.0,6.5,6.5
LD2_1_1,2000-06-29,GDA94,20000629,0.5,4,P. pubescens,5,0.0,223,POINT (130.9831009305323 -12.71478736094759),130.98310093053232,-12.714787360947586,0.02927229084948188,0.0,0.02648024573668044,1.25,0.0,1.25,0.625,0.0,0.625
LD2_2_1,2000-06-29,GDA94,20000629,0.25,3,E. miniata,13,0.0,224,POINT (130.99657354142 -12.70706726287328),130.99657354142002,-12.707067262873284,0.07610795620865289,0.0,0.06884863891536913,4.333333333333333,0.0,4.333333333333333,1.0833333333333333,0.0,1.0833333333333333
LD2_2_1,2000-06-29,GDA94,20000629,0.25,3,E. chlorostachys,26,0.0,225,POINT (130.99657354142 -12.70706726287328),130.99657354142002,-12.707067262873284,0.15221591241730578,0.0,0.13769727783073826,8.666666666666666,0.0,8.666666666666666,2.1666666666666665,0.0,2.1666666666666665
LD2_2_1,2000-06-29,GDA94,20000629,0.25,3,Acacia auriculiformis,29,0.0,226,POINT (130.99657354142 -12.70706726287328),130.99657354142002,-12.707067262873284,0.1697792869269949,0.0,0.15358542527274655,9.666666666666666,0.0,9.666666666666666,2.4166666666666665,0.0,2.4166666666666665
LD2_2_1,2000-06-29,GDA94,20000629,0.25,3,dead,0,6.0,227,POINT (130.99657354142 -12.70706726287328),130.99657354142002,-12.707067262873284,0.0,0.3331482509716824,0.03177629488401652,0.0,2.0,2.0,0.0,8.0,8.0
LD1_1_1,2000-06-23,GDA94,20000623,0.5,4,E. miniata,18,0.0,228,POINT (131.0220497151221 -12.49168359440147),131.0220497151221,-12.491683594401474,0.10538024705813477,0.0,0.09532888465204957,4.5,0.0,4.5,2.25,0.0,2.25
LD1_1_1,2000-06-23,GDA94,20000623,0.5,4,E. tetrodonta,3,0.0,229,POINT (131.0220497151221 -12.49168359440147),131.0220497151221,-12.491683594401474,0.01756337450968913,0.0,0.01588814744200826,0.75,0.0,0.75,0.375,0.0,0.375
LD1_1_1,2000-06-23,GDA94,20000623,0.5,4,Pandanus species,1,0.0,230,POINT (131.0220497151221 -12.49168359440147),131.0220497151221,-12.491683594401474,0.0058544581698963755,0.0,0.005296049147336087,0.25,0.0,0.25,0.125,0.0,0.125
LD1_1_1,2000-06-23,GDA94,20000623,0.5,4,E. chlorostachys,1,0.0,231,POINT (131.0220497151221 -12.49168359440147),131.0220497151221,-12.491683594401474,0.0058544581698963755,0.0,0.005296049147336087,0.25,0.0,0.25,0.125,0.0,0.125
LD1_1_1,2000-06-23,GDA94,20000623,0.75,4,E. tetrodonta,3,0.0,232,POINT (131.0220497151221 -12.49168359440147),131.0220497151221,-12.491683594401474,0.01756337450968913,0.0,0.01588814744200826,0.75,0.0,0.75,0.5625,0.0,0.5625
LD1_1_1,2000-06-23,GDA94,20000623,0.75,4,E. miniata,8,0.0,233,POINT (131.0220497151221 -12.49168359440147),131.0220497151221,-12.491683594401474,0.046835665359171004,0.0,0.04236839317868869,2.0,0.0,2.0,1.5,0.0,1.5
LD1_1_1,2000-06-23,GDA94,20000623,0.75,4,E. chlorostachys,4,0.0,234,POINT (131.0220497151221 -12.49168359440147),131.0220497151221,-12.491683594401474,0.023417832679585502,0.0,0.021184196589344347,1.0,0.0,1.0,0.75,0.0,0.75
LD1_1_1,2000-06-23,GDA94,20000623,1.0,4,E. miniata,3,0.0,235,POINT (131.0220497151221 -12.49168359440147),131.0220497151221,-12.491683594401474,0.01756337450968913,0.0,0.01588814744200826,0.75,0.0,0.75,0.75,0.0,0.75
LD1_1_1,2000-06-23,GDA94,20000623,1.0,4,E. tetrodonta,3,0.0,236,POINT (131.0220497151221 -12.49168359440147),131.0220497151221,-12.491683594401474,0.01756337450968913,0.0,0.01588814744200826,0.75,0.0,0.75,0.75,0.0,0.75
LD1_1_1,2000-06-24,GDA94,20000624,1.0,4,E. chlorostachys,1,0.0,237,POINT (131.0220497151221 -12.49168359440147),131.0220497151221,-12.491683594401474,0.0058544581698963755,0.0,0.005296049147336087,0.25,0.0,0.25,0.25,0.0,0.25
GB1_1_1,2000-09-07,GDA94,20000907,0.25,3,E. tetrodonta,26,0.0,238,POINT (130.6973689364915 -13.0851712456159),130.69736893649153,-13.085171245615904,0.15221591241730578,0.0,0.13769727783073826,8.666666666666666,0.0,8.666666666666666,2.1666666666666665,0.0,2.1666666666666665
GB1_1_1,2000-09-07,GDA94,20000907,0.25,3,others,33,0.0,239,POINT (130.6973689364915 -13.0851712456159),130.69736893649153,-13.085171245615904,0.19319711960658043,0.0,0.17476962186209088,11.0,0.0,11.0,2.75,0.0,2.75
GB1_1_1,2000-09-07,GDA94,20000907,0.25,3,dead,0,34.0,240,POINT (130.6973689364915 -13.0851712456159),130.69736893649153,-13.085171245615904,0.0,1.8878400888395337,0.18006567100942697,0.0,11.333333333333334,11.333333333333334,0.0,45.333333333333336,45.333333333333336
